company,role_title,job_link,applied_date,status,job_text,summary,skills,salary
no-reply@uberfreight.com,Thank you for applying to Uber Freight,,2025-10-26,Applied,"Adil, Thanks for applying to Uber Freight. Your application has been received and is under review. Please know that our team is carefully reviewing all applications, and we aim to notify candidate of",,,
no-reply@coinbase.com,Thank you for applying to Coinbase,,2025-10-14,Applied,"Hi Adil, Thank you for showing interest in joining our team and taking the time to apply to Coinbase. We&#39;ll be reviewing your application shortly and will reach out to you on any next steps if your",,,
myHR_EmployeeDataDoNotReply cardinalhealth <cardinalhealth@myworkday.com>,Thank you for Applying!,,2025-10-12,Applied,"Adil , We have received your application for the Data &amp; Analytics Embark Early Career Development Program position, reference: 20168670 Data &amp; Analytics Embark Early Career Development Program",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-10-12,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Data Scientist I, Customer Delivery Excellence Science (ID: 3105281) position. What happens next? If we",,,
"""Docusign @ icims"" <docusign+autoreply@talent.icims.com>",Thank you for applying at Docusign,,2025-10-09,Applied,"Dear Adil, Thank you, your application has been received for the Associate Data Scientist position with Docusign. We are committed to reviewing applications as soon as possible. While we may not be",,,
Charter Hire <charter+autoreply@talent.icims.com>,"Adil, Thank You for Applying to Spectrum",,2025-10-08,Applied,"Hello, Adil. Looking for a new job can be exciting and life-changing! We appreciate your decision to apply to Spectrum. Your application was received for the following position: Operations Data and",,,
<noreply@carefirst.com>,Thank you for applying for this Job!,,2025-10-08,Applied,"Dear Adil Ghoghawala , Thank you for your interest in CareFirst or one of its subsidiary companies! We have successfully received your application, which is in the process of being reviewed by our",,,
HR System <HRsystem@capgemini.com>,Capgemini Group – New Job Application Received,,2025-10-08,Applied,"Dear Adil, Thank you for your application and interest in the position of Junior Data Analyst. Our Talent Acquisition Team will review your application and be in touch shortly. You can review your",,,
"""Shure Incorporated @ icims"" <shure+autoreply@talent.icims.eu>",Thank you for applying at Niles,,2025-10-06,Applied,"Dear Adil, Thank you for your recent application to the Marketing Data Science Intern position at Shure Incorporated. Your submission will be reviewed by our recruiting staff, and we will contact you",,,
Workday <freddiemac@myworkday.com>,Freddie Mac - Application Received,,2025-10-06,Applied,"Adil, We have received your application for the JR15836 Single Family Data Analyst position. We would like to express our appreciation to you for applying for a position where you can play a role in",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-10-06,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Solutions Architect, AWSI (ID: 3100893) position. What happens next? If we decide to move forward with",,,
Starbucks Careers <hiring@jobs.starbucks.com>,Thank you for applying at Starbucks!,,2025-10-06,Applied,"Dear Adil, Our mission is simple: “To be the premier purveyor of the finest coffee in the world, inspiring and nurturing the human spirit – one person, one cup and one neighborhood at a time.” Thank",,,
no-reply@lucidmotors.com,Thank you for applying to Lucid Motors,,2025-10-05,Applied,"Hi Adil, Thank you for applying to the Intern, Data Analysis, Program Manager - Summer 2026 role at Lucid Motors. Your application has been received and we will review it as soon as possible. If your",,,
no-reply@seatgeek.com,SeatGeek - Thank You For Applying!,,2025-10-05,Applied,"Hi Adil, Thank you for applying to SeatGeek! Your application for Data Analyst - Internship is in safe hands. Due to the high volume of campus applications we are receiving, there may be some delays in",,,
earlywarning@myworkday.com,Thank you for applying with Early Warning Services.,,2025-10-04,Applied,"Dear Adil, Thank you for applying to the Data Scientist I opportunity. If your background matches what we are looking for, we will reach out to you to discuss next steps. Thank you again for",,,
no-reply@beyondfinance.com,Thank you for applying to Beyond Finance,,2025-10-03,Applied,"Adil, Thanks for applying to Beyond Finance. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon.",,,
medline@myworkday.com,Thank You for Applying at Medline!,,2025-10-01,Applied,"Hi Adil, Thank you for your interest in the Associate Business Analyst - Summer 2026 Start (Sterile Procedure Tray) position with Medline. We are excited to review your application! If you are selected",,,
no-reply@roblox.com,Thank you for applying to Roblox!,,2025-10-01,Applied,"Early Career Talent Hi Adil, Thank you for applying to Roblox! We have received your application for the [2026] Associate Product Manager, Early Career role. We&#39;re excited to learn more about your",,,
no-reply@duolingo.com,Thank you for applying to Duolingo!,,2025-10-01,Applied,"Hi Adil, Thank you for applying to Duolingo! This email is to confirm your application has been received for Associate Product Manager, Intern. We will review it as soon as we can and reach out if you",,,
The Recruiting team at Meta <do-not-reply@recruiting.facebook.com>,Thank you for applying to Meta,,2025-10-01,Applied,"Our recruiting team will contact you if you&#39;re a strong match. Meta Careers Thank you for applying to Meta Hi Adil, We appreciate you taking the time to submit your application for the Data",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Kalderos,,2025-09-30,Applied,"Hello Adil, Thanks for applying to Kalderos. Your application has been received. Our team will review your application, and if it seems like a good fit for the position, we will contact you soon. Best,",,,
no-reply@moloco.com,Thank you for applying to the Data Science Intern position at Moloco!,,2025-09-29,Applied,"Hi Adil, Thanks for applying to the Data Science Intern position at Moloco. Your application has been received. If your application seems like a good fit for the position, we will contact you. Regards,",,,
Workday <att@myworkday.com>,Application Received - R-79480 Technology Development Program,,2025-09-29,Applied,"Hi Adil, We appreciate every single connection we make. Thank you for offering your expertise to help create a world of opportunity with AT&amp;T. Your application for the position of R-79480",,,
"""StoneX @ icims"" <stonex+autoreply@talent.icims.com>",Thank you for applying at StoneX,,2025-09-29,Applied,"Dear Adil, Thank you very much for your recent application to the Junior Data Analyst position at StoneX. Your submission will be reviewed by our recruiting staff, and we may reach out to you for more",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Celonis,,2025-09-27,Applied,"Adil, Thanks for applying to Celonis. Your application has been received. We are currently reviewing all applications and will reach out if you are moved forward in the interview journey. We appreciate",,,
no-reply@nfl.com,Thank you for applying to The National Football League,,2025-09-25,Applied,"Adil, Thanks for applying to The National Football League. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will",,,
Southwest Airlines <swa@myworkday.com>,Application Received for R-2025-59817 Associate Data Scientist - Direct College Hire,,2025-09-24,Applied,"Hello Adil, Thank you for completing your job application for the R-2025-59817 Associate Data Scientist - Direct College Hire position! More information about the job is included below. Job Information",,,
Oracle Talent Acquisition <noreply@oracle.com>,We received your application,,2025-09-23,Applied,"Hi Adil, Thank you for your interest in a career at Oracle! We appreciate you taking the time to submit your application for the role of Undergrad Product Manager - 308039. If you&#39;d like to review",,,
"""Uber @ icims"" <uber+autoreply@talent.icims.com>",Thank You for Applying,,2025-09-23,Applied,"Dear Adil, Thank you very much for your recent application to the Graduate 2026 Associate Product Manager, United States position at Uber. Your submission will be reviewed by our recruiting staff, and",,,
FannieMae Workday Notifications <Workday_Notifications@fanniemae.com>,Application Received,,2025-09-22,Applied,"Thank you for submitting your application for the Campus - Analytics and Modeling Program Associate at Fannie Mae. We appreciate your interest. If your qualifications fit the job requirements, a",,,
Southwest Airlines <swa@myworkday.com>,Application Received for R-2025-59389 Associate Data & Decision Scientist,,2025-09-22,Applied,"Hello Adil, Thank you for completing your job application for the R-2025-59389 Associate Data &amp; Decision Scientist position! More information about the job is included below. Job Information Date",,,
noreply@parker.com,Thank you for applying for this Job!,,2025-09-18,Applied,"(Please Note: This message was automatically generated. Please do not respond) Dear Adil Ghoghawala, Thank you for expressing an interest in the following position(s) submitted on 2025-09-18: 58246 -",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-09-15,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Business Analyst (ID: 3083139) position. What happens next? If we decide to move forward with your",,,
no-reply@duolingo.com,Thank you for applying to Duolingo!,,2025-09-15,Applied,"Hi Adil, Thank you for applying to Duolingo! This email is to confirm your application has been received. We will review it as soon as we can and reach out if you seem to be a good fit for the position",,,
do-not-reply adobe <adobe@myworkday.com>,Thank you for Applying to Adobe,,2025-09-13,Applied,"Hi Adil, Thank you for taking the time to apply for the R158870 2026 University Graduate - Finance Data Scientist role. We&#39;re fortunate to have received a lot of interest in this role, resulting in",,,
"""Principal @ icims"" <principal+autoreply@talent.icims.com>",Thank you for applying at Principal,,2025-09-13,Applied,"Principal Logo Hi Adil, Thank you for applying to Principal. We&#39;re always looking for talent who bring unique perspectives, passion, and expertise to help us advance the financial security and well",,,
MyHR <allstate@myworkday.com>,Thank you for applying!,,2025-09-11,Applied,"Hi Adil, Thank you for your interest in joining our team at Allstate Insurance Company. We know you have lots of options when applying for a job, and we appreciate you taking the time to apply for our",,,
HRSS Do_Not_Reply_Automated_Message AIG <HRSS_Automated_Message_Do_Not_Reply@aig.com>,Thank you for applying to AIG,,2025-09-09,Applied,"Thank you for your interest in career opportunities with AIG. Your application is currently under review, and we will be in touch to let you know if you have been selected for next step in the process.",,,
CrewCentral_noreply@vanguardhr.com,Thank you for applying!,,2025-09-04,Applied,"Dear Adil , Thank you for expressing an interest in job opportunities with Vanguard. Your resume has been successfully submitted for the following position: Data and Analytics Advanced Development",,,
"""workday@bah.com"" <workday@bah.com>",Thank you for applying,,2025-09-02,Applied,Subject: Adil Ghoghawala ‎- R0225471 University - Data Analyst (C01778620) Thanks Adil Ghoghawala! We just received your application for the University - Data Analyst position. We&#39;re currently,,,
AbbVie <notification@talentacquisition.abbvie.com>,AbbVie Application Received - Thank you!,,2025-09-02,Applied,"​Dear Adil, Thank you for applying for the Associate Scientist, Data I-R00133804 position at AbbVie. We will review your experience and qualifications and if they match our requirements, a member of",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to 84.51°!,,2025-09-01,Applied,"Hello Adil, Thank you for your interest in 84.51°! We have received your application for the Data Scientist - Development Program 2026 role. Please add our email domain (@8451.com) to your whitelist/",,,
TikTok <noreply@careers.tiktok.com>,Thank you for applying to TikTok!,,2025-09-01,Applied,"Hi Adil Ghoghawala, You did it! Great job! We have received your application for the Data Analyst Graduate (TikTok Shop Supply Chain and Logistics) - 2026 Start (MBA) role within TikTok. Our talent",,,
Textron Recruiting <recruiting-noreply@hrtextron.textron.com>,Thank you for applying - 2026 Textron Leadership Development Program - Information Technology-334218,,2025-09-01,Applied,"Hello Adil, Thank you for applying for the 2026 Textron Leadership Development Program - Information Technology-334218 position. We&#39;re currently reviewing your experience and qualifications, and we",,,
Uline HR - Workday <Workday@uline.com>,Thank you for applying at Uline!,,2025-08-28,Applied,"Dear Adil, Thank you for your interest in a career at Uline, North America&#39;s leading distributor of shipping, packaging and industrial supplies. We are a family-owned company known for our",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-08-26,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Business Intelligence Engineer Internship - 2026 (US) (ID: 3066561) position. What happens next? If we",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Crunchyroll,,2025-08-22,Applied,"Adil, Thank you for applying to Crunchyroll! We can confirm that we have received your application. You&#39;ll hear from us if we think your experience and skills are a good fit for the position. Best",,,
FannieMae Workday Notifications <Workday_Notifications@fanniemae.com>,Application Received,,2025-08-20,Applied,"Thank you for submitting your application for the Campus - Analytics and Modeling Program Associate at Fannie Mae. We appreciate your interest. If your qualifications fit the job requirements, a",,,
MyWorkday T-Mobile <tmobile@myworkday.com>,"Got it! Application received for: REQ328561 Assoc Engineer, AI Modeling",,2025-08-16,Applied,"Hi Adil, You just made the first move towards an exciting opportunity with T-Mobile—thanks for applying to the REQ328561 Assoc Engineer, AI Modeling position! What&#39;s Next? The skills and",,,
TikTok <noreply@careers.tiktok.com>,Thank you for applying to TikTok!,,2025-08-16,Applied,"Hi Adil Ghoghawala, You did it! Great job! We have received your application for the Business Analyst Graduate (Creative and Brand Innovation) - 2026 Start (BS/MS) role within TikTok. Our talent",,,
FannieMae Workday Notifications <Workday_Notifications@fanniemae.com>,Application Received,,2025-08-16,Applied,Thank you for submitting your application for the Campus - Data Science (Analytics and Modeling Program) Intern at Fannie Mae. We appreciate your interest. If your qualifications fit the job,,,
Uline HR - Workday <Workday@uline.com>,Thank you for applying at Uline!,,2025-08-15,Applied,"Dear Adil, Thank you for your interest in a career at Uline, North America&#39;s leading distributor of shipping, packaging and industrial supplies. We are a family-owned company known for our",,,
jobs@janestreet.com,Thank you for applying to Jane Street,,2025-08-11,Applied,"Adil, Thank you for your interest in Jane Street. We appreciate the time you spent preparing your application. Unfortunately, we are unable to find a good match for your skills and credentials at this",,,
General Mills Talent Acquisition <generalmills2+autoreply@talent.icims.com>,Thank you for Applying at General Mills,,2025-08-10,Applied,"Dear Adil, Thank you very much for your recent application for Internship - Digital &amp; Technology Associate role at General Mills. We are excited that you are as passionate about making food the",,,
TikTok <noreply@careers.tiktok.com>,Thank you for applying to TikTok!,,2025-08-08,Applied,"Hi Adil Ghoghawala, You did it! Great job! We have received your application for the Data Analyst Intern (TikTok Shop AMS Data Science) - 2026 Summer (BS/MS) role within TikTok. Our talent acquisition",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to MARA,,2025-08-06,Applied,"Hi Adil, Thank you for applying to the Data Science Intern (Fall 2025) position at MARA—we&#39;re excited to learn more about you! Our Talent Acquisition team is currently reviewing applications. If",,,
WellsFargoHR <wf@myworkday.com>,Wells Fargo Careers: Thank you for applying,,2025-08-05,Applied,"Dear Adil, Thank you for your interest in Wells Fargo. We have received your application for the following position: R-475789 2026 Analytics and Data Development Program – Early Careers We appreciate",,,
AbbVie <notification@talentacquisition.abbvie.com>,AbbVie Application Received - Thank you!,,2025-08-01,Applied,"​Dear Adil, Thank you for applying for the 2026 Business Technology Solutions Intern-R00132483 position at AbbVie. We will review your experience and qualifications and if they match our requirements,",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-07-31,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the 2026 Business Analyst Intern (ID: 2996918) position. What happens next? If we decide to move forward with",,,
"""字节跳动 ByteDance"" <people@mail.bytedance.net>",Thank you for applying to ByteDance!,,2025-07-31,Applied,"Hi Adil Ghoghawala, We received your application for the Data Science Graduate (Advertisement Team) - 2026 Start (BS/MS) role within ByteDance and it&#39;s in good hands! We are truly excited you want",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Harmonic Labs,,2025-07-30,Applied,"Adil, Thanks for applying to Harmonic Labs! Your application has been received and is in review. Here&#39;s a quick note on what happens next: Our Talent Acquisition team will review your application",,,
MyWorkday T-Mobile <tmobile@myworkday.com>,Got it! Application received for: REQ327312 Associate Product Manager,,2025-07-30,Applied,"Hi Adil, You just made the first move towards an exciting opportunity with T-Mobile—thanks for applying to the REQ327312 Associate Product Manager position! What&#39;s Next? The skills and experiences",,,
"""字节跳动 ByteDance"" <people@mail.bytedance.net>",Thank you for applying to ByteDance!,,2025-07-30,Applied,"Hi Adil Ghoghawala, We received your application for the Data Science Project Intern(TikTok Shop-Supply Chain &amp; Logistics) - 2025 Start (BS/MS) role within ByteDance and it&#39;s in good hands! We",,,
WellsFargoHR <wf@myworkday.com>,Wells Fargo Careers: Thank you for applying,,2025-07-24,Applied,"Dear Adil, Thank you for your interest in Wells Fargo. We have received your application for the following position: R-475778 2026 Analytics and Data Summer Internship – Early Careers We appreciate the",,,
no-reply@godaddy.com,Thank you for applying to Employee Referrals,,2025-07-23,Applied,"Hi Adil, We&#39;ve received your application for Tech Internship 2026 (General Referral). Our recruiters are excited to review your skills and experience. To ensure you don&#39;t miss a message from",,,
Medicom <no-reply@ats.rippling.com>,Thank you for applying to Medicom,,2025-07-22,Applied,"Hi Adil, Thank you for applying to Medicom! We have received your application and will review it promptly. If we think there is a good fit, we will contact you at this email address. Position: Research",,,
USAA <workday@usaa.com>,Thank You for Applying,,2025-07-22,Applied,"Hi Adil, We&#39;ve received your application for R0110546 Data Engineer I. At USAA, we have an important mission: facilitating the financial security of millions of US military members and their",,,
cat@myworkday.com,"Application Received for R0000315183 Aftermarket Data Engineer I, Cat Digital",,2025-07-22,Applied,"Caterpillar Careers Banner Dear Adil, Thank you for applying for the position of R0000315183 Aftermarket Data Engineer I, Cat Digital. You are one step closer to joining the team that helps our",,,
WellsFargoHR <wf@myworkday.com>,Wells Fargo Careers: Thank you for applying,,2025-07-22,Applied,"Dear Adil, Thank you for your interest in Wells Fargo. We have received your application for the following position: R-474982 2026 Technology Summer Internship - Early Careers (Software Engineer) We",,,
Oracle Talent Acquisition <noreply@oracle.com>,We received your application,,2025-07-21,Applied,"Hi Adil, Thank you for your interest in a career at Oracle! We appreciate you taking the time to submit your application for the role of Software Engineer Intern - Oracle Health - 302269. If you&#39;d",,,
"""ERP Program Management Team "" <comcast@myworkday.com>",Application Received for ERP Rising Senior Technology Internship at Comcast NBCU,,2025-07-17,Applied,Thank you for your interest in the ERP Rising Senior Technology Internship role at Comcast NBCU. We have received your application and appreciate the time and effort you invested in applying. Please be,,,
no-reply@us.greenhouse-mail.io,Thank you for applying to BMG Money,,2025-07-14,Applied,"Adil, Thanks for applying to BMG Money. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon. Regards",,,
no-reply@flyzipline.com,Thank you for applying to Zipline,,2025-07-14,Applied,"Hello Adil, Thanks for applying to Zipline! Your application has been received and someone from our team will review it soon. If your application seems like a good fit for the position we will contact",,,
jobs@janestreet.com,Thank you for applying to Jane Street,,2025-07-13,Applied,"Adil, Thank you for applying for a position at Jane Street. This email is to confirm that we received your resume and will be in touch shortly regarding your status. Best, Jane Street Recruiting",,,
Jane Street Recruiting <no-reply@jobs.janestreet.com>,Jane Street Application Received,,2025-07-13,Applied,"Hello, Thank you for applying for a position at Jane Street. This email is to confirm that we received your resume and will be in touch shortly regarding your status. Thank you for your interest in",,,
TikTok <noreply@careers.tiktok.com>,Thank you for applying to TikTok!,,2025-07-04,Applied,"Hi Adil Ghoghawala, You did it! Great job! We have received your application for the Data Science intern (TikTok-Product-Data Science-UG Mid-Platform-US) - 2025 Start (BS/MS) role within TikTok. Our",,,
no-reply@cloudflare.com,Cloudflare Recruiting | Application Received - Data Analyst Intern (Fall 2025),,2025-07-01,Applied,"Hi Adil, Thank you for applying to Cloudflare, we wanted to let you know that we have received your application for the Data Analyst Intern (Fall 2025) position! Our hiring team will review your",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-06-29,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Amazon Robotics - Business Intelligence Engineer (BIE) Co-op (Robotic Storage Technology) - Fall 2025 (ID",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-06-28,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Amazon Robotics- Business Intelligence Engineer Co-op - Fall 2025, Integration, Initiatives, and",,,
workday_support trimble <trimble@myworkday.com>,Trimble Recruiting - Thank you for applying!,,2025-06-26,Applied,"Adil, Thank you so much for applying for the role of Data Analyst Intern . We are currently processing your application and will be in contact with you in due course. Please note that regardless of the",,,
no-reply@veracyte.com,Thank you for applying to Veracyte,,2025-06-25,Applied,"Hello Adil, Thanks for applying to our open Data Analyst - Revenue Cycle Operations Intern here at Veracyte! We have received your application and look forward to reviewing your resume in detail. If",,,
insightsoftware <notification@insightsoftware.com>,Thank you for applying to insightsoftware!,,2025-06-23,Applied,"Dear Adil, Thank you for submitting your application for the position of Data &amp; Analytics Intern. We will review your application and communicate any next steps as appropriate. Best regards,",,,
ByteDance <noreply@careers.bytedance.com>,Thank you for applying to ByteDance!,,2025-06-21,Applied,"Hi Adil Ghoghawala, We received your application for the Data Scientist Intern (TikTok Ads)- 2025 Fall (BS/MS) role within ByteDance and it&#39;s in good hands! We are truly excited you want to join",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to TabaPay!,,2025-06-21,Applied,"Hi Adil, Thank you for applying to TabaPay. Your application has been received and will be reviewed by a team member as soon as possible. If your application seems like a good fit for the position we",,,
no-reply@hq.bill.com,Thank you for applying to BILL - 2025 Campus Recruiting: Risk Data Science Intern,,2025-06-20,Applied,"Dear Adil, Thanks for applying to 2025 Campus Recruiting: Risk Data Science Intern. We are committed to reviewing applications as soon as possible. While we are not able to personally respond to all",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Faraday Future,,2025-06-18,Applied,"Adil, Thanks for applying to Faraday Future. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon.",,,
noreply vrtx <vrtx@myworkday.com>,Thank you for applying!,,2025-06-14,Applied,"Dear Adil, Thank you for applying to the following role: Vertex Fall 2025 Co-op, Process Development &amp; Data Processing (Boston, MA) . If your skills and experience are a match for the position, we",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Scale AI,,2025-06-14,Applied,"Adil, Thanks for applying to Scale AI. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon. Regards,",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-06-13,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Amazon Robotics- Business Intelligence Engineer Intern - Fall 2025 (ID: 3007710) position. What happens",,,
GE Aerospace Workday Notifications <geaerospace@myworkday.com>,Thank you for Applying,,2025-06-11,Applied,"Hi Adil , Thank you for taking the time to apply for Analytics Co-op – Tableau Dashboard Development . So, what happens now? We will review your profile against the qualifications for this opportunity,",,,
Madhive Hiring Team <no-reply@ashbyhq.com>,Thank you for applying to Madhive!,,2025-06-09,Applied,"Hi Adil, Thank you for your interest in the Data Analyst Intern position at Madhive. Our team will be reviewing applications, and if we&#39;re able to move forward, we&#39;ll be in touch with the next",,,
"""RobertHalf@myworkday.com"" <roberthalf@myworkday.com>",Thank you for applying,,2025-06-07,Applied,Adil Thank you for your interest in a career with our company. We are committed to matching your experience with the right opportunity! We have received your application for Chicago Technology,,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-06-05,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Amazon Robotics - Business Intelligence Engineer Co-op - Spring &amp; Fall 2025 (ID: 2816107) position.",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Loop,,2025-06-02,Applied,"Adil, Thanks for applying to Loop. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon. Regards,",,,
insightsoftware <notification@insightsoftware.com>,Thank you for applying to insightsoftware!,,2025-06-01,Applied,"Dear Adil, Thank you for submitting your application for the position of Data &amp; Analytics Intern. We will review your application and communicate any next steps as appropriate. Best regards,",,,
"""Avison Young @ icims"" <avisonyoung+autoreply@talent.icims.com>",Thank you for applying at Avison Young,,2025-06-01,Applied,"Hi Adil, We&#39;re thrilled that you&#39;d like to join the Avison Young family. If you&#39;re receiving this email, your application for Intern position at Avison Young has successfully reached our",,,
ByteDance <noreply@careers.bytedance.com>,Thank you for applying to ByteDance!,,2025-05-30,Applied,"Hi Adil Ghoghawala, We received your application for the Data Scientist Intern (TikTok Ads)- 2025 Fall (BS/MS) role within ByteDance and it&#39;s in good hands! We are truly excited you want to join",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to Samsung Semiconductor,,2025-05-30,Applied,"Hi Adil, Thanks for applying to Samsung Semiconductor. Your application has been received and a member of our team will review it. If your experience seems like a good fit for the position, we&#39;ll",,,
noreply@mail.amazon.jobs,Thank you for Applying to Amazon!,,2025-05-25,Applied,"Amazon.jobs Hi Adil, Thanks for applying to Amazon! We&#39;ve received your application for the Amazon Robotics - Business Analyst Co-op - Spring or Fall 2025, Global Robotics Delivery (ID: 2806124)",,,
no-reply@brex.com,"Adil, Thank You for Applying to Brex!",,2025-05-17,Applied,"Hi Adil, Thank you for applying to Brex! Your application has been received, and our team is in the process of reviewing it. If your profile is a good fit for the role, we&#39;ll be in touch shortly",,,
USAA <workday@usaa.com>,Thank you for Applying,,2025-04-07,Applied,"Dear Adil, Thank you for your interest in the Data and Analytics Intern position at USAA. We appreciate you taking the time to apply. We&#39;d like to let you know that this position has been filled.",,,
International DoNotReply <internationalmotors+email+d6u7-ebf246f759@talent.icims.com>,Thank you for applying to the position IT Intern Software Development with International,,2025-04-04,Applied,"Hi Adil, Thank you for your interest in International . We recently reviewed your qualifications for IT Intern Software Development position and have decided to move forward with other candidates at",,,
International DoNotReply <internationalmotors+email+d6fa-2e5e6489ed@talent.icims.com>,Thank you for applying to the position IT BI Analytic Intern with International,,2025-04-04,Applied,"Hi Adil, Thank you for your interest in International . We recently reviewed your qualifications for IT BI Analytic Intern position and have decided to move forward with other candidates at this time.",,,
International DoNotReply <internationalmotors+email+d68k-ac2068a210@talent.icims.com>,Thank you for applying to the position IT Analyst Intern with International,,2025-04-04,Applied,"Hi Adil, Thank you for your interest in International . We recently reviewed your qualifications for IT Analyst Intern position and have decided to move forward with other candidates at this time.",,,
no-reply@chime.com,Thank you for applying to Chime,,2025-03-26,Applied,"Hi Adil, Thanks for your interest in Chime! We&#39;ve received your application for the Data Analytics Intern (Summer 2025) position. Our team will review your submission and we&#39;ll get back to you",,,
no-reply@coalitioninc.com,"Thank you for applying to Coalition, Inc.!",,2025-03-24,Applied,"Adil, Thanks for applying to Coalition, Inc.. Your application has been received and we make every effort to review applications as we receive them in a timely manner. If your application seems like a",,,
